weather_variable,target_variable,n,spearman_rho,pvalue
humidity,avg_ole,361,0.1417825325478468,0.006972207720402178
cloudcover,avg_ole,361,0.11733163318796648,0.02579562722548531
solarradiation,avg_ole,361,-0.06770851733548443,0.19932622982096546
temp_c,failure_rate,351,-0.06701231950506262,0.21042225155176053
temp_c,avg_ole,361,-0.0661870623796411,0.20963530718349185
humidity,failure_rate,351,0.06587781301276727,0.2182646659921049
temp_c,downtime_per_hour,361,0.05722571724526393,0.2781845502618058
windspeed,downtime_per_hour,361,0.05582896762737149,0.29010247849445403
solarradiation,failure_rate,351,-0.05281121340541459,0.3238500349270328
cloudcover,failure_rate,351,0.049258670398935764,0.3575060646030691
windspeed,failure_rate,351,-0.04183163237785517,0.4346485192759171
windspeed,avg_ole,361,-0.03246722159518196,0.5386208096689604
humidity,downtime_per_hour,361,-0.03180633698661299,0.5469232389307466
precip,avg_ole,361,0.02931184318798797,0.5788174923580823
solarradiation,downtime_per_hour,361,-0.014371079229714069,0.7855316098805526
cloudcover,downtime_per_hour,361,0.00406564383555845,0.9386397360710897
precip,failure_rate,351,0.0032508216966764957,0.9516084580603548
precip,downtime_per_hour,361,-0.0004768895449818426,0.9927956172562202
