date,avg_ole,median_ole,total_production,total_failures,total_downtime,avg_workers,planned_production,hourly_obs,failure_rate,downtime_per_hour,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,temp_c,is_rainy,is_overcast,season
2024-10-01,0.8873807519640854,0.8812500000000001,2233.0,77.0,10.0,19.38888888888889,2508.0,18,0.034482758620689655,0.5555555555555556,Kayseri,2024-10-01,62.7,53.7,56.6,62.7,53.7,56.6,46.3,69.5,0.119,100,8.33,rain,0.0,0.0,24.8,12.8,290.5,1010.9,93.4,6.2,137.9,11.9,6,,2024-10-01T06:34:09,2024-10-01T18:20:33,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"17193099999,TUMU0017196,17195099999,LTAU",13.666666666666666,True,True,Autumn
2024-10-02,0.8585928731762065,0.9166666666666666,2163.0,71.0,10.0,19.0,2508.0,18,0.03282478039759593,0.5555555555555556,Kayseri,2024-10-02,64.5,44.7,54.8,64.5,44.7,54.8,42.1,63.1,0.0,0,0.0,,0.0,0.0,17.0,18.3,284.6,1015.4,70.3,6.2,0.0,0.0,0,,2024-10-02T06:35:04,2024-10-02T18:18:59,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17193099999,TUMU0017196,17195099999,LTAU",12.666666666666664,False,False,Autumn
2024-10-03,0.7436662925551815,0.735,1909.0,45.0,10.0,18.5,2508.0,18,0.02357255107386066,0.5555555555555556,Kayseri,2024-10-03,73.5,37.5,55.1,73.5,35.1,54.4,40.2,63.2,0.0,0,0.0,,0.0,0.0,12.8,5.8,35.3,1019.4,2.1,6.2,215.6,18.6,7,,2024-10-03T06:36:00,2024-10-03T18:17:26,0.02,Clear,Clear conditions throughout the day.,clear-day,"17193099999,TUMU0017196,17195099999,LTAU",12.833333333333334,False,False,Autumn
2024-10-04,0.7770931537598204,0.7708333333333333,1968.0,36.0,10.0,19.666666666666668,2508.0,18,0.018292682926829267,0.5555555555555556,Kayseri,2024-10-04,77.1,41.1,58.3,77.1,38.0,57.7,39.8,55.2,0.0,0,0.0,,0.0,0.0,14.5,7.0,34.5,1020.5,0.0,6.2,213.8,18.5,7,,2024-10-04T06:36:56,2024-10-04T18:15:53,0.05,Clear,Clear conditions throughout the day.,clear-day,"17193099999,TUMU0017196,17195099999,LTAU",14.61111111111111,False,False,Autumn
2024-10-05,0.7446759259259259,0.7708333333333333,1917.0,38.0,10.0,18.625,2508.0,18,0.0198226395409494,0.5555555555555556,Kayseri,2024-10-05,82.5,42.9,60.7,80.0,41.3,59.9,34.3,46.5,0.0,0,0.0,,0.0,0.0,13.9,6.9,66.1,1018.8,0.0,6.2,0.0,0.0,0,,2024-10-05T06:37:52,2024-10-05T18:14:20,0.09,Clear,Clear conditions throughout the day.,clear-day,"17193099999,TUMU0017196,17195099999,LTAU",15.944444444444445,False,False,Autumn
2024-10-07,0.8428409090909091,0.8351388888888889,2137.0,48.0,10.0,20.0,2508.0,18,0.022461394478240523,0.5555555555555556,Kayseri,2024-10-07,82.5,42.9,63.5,80.3,42.9,63.0,38.0,43.1,0.0,0,0.0,,0.0,0.0,25.1,8.0,301.1,1017.5,28.7,6.2,193.2,16.7,7,,2024-10-07T06:39:46,2024-10-07T18:11:17,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17193099999,TUMU0017196,17195099999,LTAU",17.5,False,False,Autumn
2024-10-08,0.889766835016835,0.8645833333333333,2274.0,48.0,10.0,20.0,2542.0,18,0.021108179419525065,0.5555555555555556,Kayseri,2024-10-08,80.7,46.5,64.0,79.3,44.3,63.7,39.8,44.3,0.0,0,0.0,,0.0,0.0,16.3,8.0,352.8,1020.7,10.5,6.2,205.0,17.6,7,,2024-10-08T06:40:43,2024-10-08T18:09:46,0.19,Clear,Clear conditions throughout the day.,clear-day,"17193099999,TUMU0017196,17195099999,LTAU",17.77777777777778,False,False,Autumn
2024-10-09,0.8738299663299665,0.8566666666666667,2281.0,48.0,10.0,20.0,2565.0,18,0.02104340201665936,0.5555555555555556,Kayseri,2024-10-09,84.3,48.3,64.6,81.4,45.7,63.8,39.8,45.4,0.0,0,0.0,,0.0,0.0,16.8,8.1,40.5,1019.1,0.0,6.2,205.5,17.8,7,,2024-10-09T06:41:41,2024-10-09T18:08:15,0.22,Clear,Clear conditions throughout the day.,clear-day,"17193099999,TUMU0017196,17195099999,LTAU",18.111111111111107,False,False,Autumn
2024-10-10,0.7591195286195286,0.7633333333333334,1809.0,62.0,45.0,20.5,2417.5,18,0.03427307904919845,2.5,Kayseri,2024-10-10,80.7,46.5,62.4,79.1,46.5,62.3,39.2,46.4,0.0,0,0.0,,0.0,0.0,21.7,11.4,312.1,1015.4,0.0,6.2,197.4,17.1,7,,2024-10-10T06:42:38,2024-10-10T18:06:45,0.25,Clear,Clear conditions throughout the day.,clear-day,"17193099999,TUMU0017196,17195099999,LTAU",16.88888888888889,False,False,Autumn
2024-10-11,0.659652076318743,0.6805555555555556,1799.0,58.0,10.0,21.5,2736.0,18,0.032240133407448586,0.5555555555555556,Kayseri,2024-10-11,80.7,50.1,64.3,79.3,50.1,64.1,40.6,45.0,0.0,0,0.0,,0.0,0.0,19.0,8.1,0.5,1014.3,49.5,6.2,184.9,15.9,7,,2024-10-11T06:43:37,2024-10-11T18:05:16,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17193099999,TUMU0017196,17195099999,LTAU",17.944444444444443,False,False,Autumn
